node_id title year month day
61960CJ0019 "Société Fives Lille Cail and others v High Authority of the European Coal and Steel Community" 1961 12 15
61961CJ0007 "Commission of the European Economic Community v Italian Republic" 1961 12 19
61961CJ0010 "Commission of the European Economic Community v Italian Republic" 1962 2 27
61960CJ0025 "Mrs Leda De Bruyn v European Parliament" 1962 3 1
61961CJ0013 "Kledingverkoopbedrijf de Geus en Uitdenbogerd v Robert Bosch GmbH and Maatschappij tot voortzetting van de zaken der Firma Willem van Rijn" 1962 4 6
61961CJ0021 "Meroni & Co. and others v High Authority of the European Coal and Steel Community" 1962 4 6
61960CJ0013 """Geitling"", Ruhrkohlen-Verkaufsgesellschaft mbH and others v High Authority of the European Coal and Steel Community" 1962 5 18
61961CJ0014 "Koninklijke Nederlandsche Hoogovens en Staalfabrieken N.V. v High Authority of the European Coal and Steel Community" 1962 7 12
61961CJ0016 "Acciaierie Ferriere e Fonderie di Modena v High Authority of the European Coal and Steel Community" 1962 7 12
61961CJ0009 "Kingdom of the Netherlands v High Authority of the European Coal and Steel Community" 1962 7 12
61960CJ0018 "Louis Worms v High Authority of the European Coal and Steel Community" 1962 7 12
61961CJ0017 "Klöckner-Werke AG and Hoesch AG v High Authority of the European Coal and Steel Community" 1962 7 13
61961CJ0019 "Mannesmann AG v High Authority of the European Coal and Steel Community" 1962 7 13
61959CJ0033 "Compagnie des Hauts Fourneaux de Chasse v High Authority of the European Coal and Steel Community" 1962 12 14
61962CJ0002 "Commission of the European Economic Community v Grand Duchy of Luxembourg and Kingdom of Belgium" 1962 12 14
61962CJ0016 "Confédération nationale des producteurs de fruits et légumes and others v Council of the European Economic Community" 1962 12 14
61962CJ0019 "Fédération nationale de la boucherie en gros et du commerce en gros des viandes and others v Council of the European Economic Community" 1962 12 14
61962CJ0031 "Milchwerke Heinz Wöhrmann & Sohn KG and Alfons Lütticke GmbH v Commission of the European Economic Community" 1962 12 14
61959CJ0046 "Meroni & Co., Erba - Meroni & Co., Milan v High Authority of the European Coal and Steel Community" 1962 12 14
61962CJ0005 "Società Industriale Acciaierie San Michele and others v High Authority of the European Coal and Steel Community" 1962 12 14
61962CJ0026 "NV Algemene Transport- en Expeditie Onderneming van Gend & Loos v Netherlands Inland Revenue Administration" 1963 2 5
61962CJ0028 "Da Costa en Schaake NV, Jacob Meijer NV, Hoechst-Holland NV v Netherlands Inland Revenue Administration" 1963 3 27
61962CJ0024 "Federal Republic of Germany v Commission of the European Economic Community" 1963 7 4
61962CJ0032 "Maurice Alvis v Council of the European Economic Community" 1963 7 4
61963CJ0012 "Mrs Marga Schlieker, née Diepenbruck v High Authority of the European Coal and Steel Community" 1963 7 4
61962CJ0034 "Federal Republic of Germany v Commission of the European Economic Community" 1963 7 15
61962CJ0025 "Plaumann & Co. v Commission of the European Economic Community" 1963 7 15
61963CJ0013 "Italian Republic v Commission of the European Economic Community" 1963 7 17
61963CJ0028 "Koninklijke Nederlandsche Hoogovens en Staalfabrieken NV v High Authority of the European Coal and Steel Community" 1963 12 5
61963CJ0053 "Lemmerz-Werke GmbH and others v High Authority of the European Coal and Steel Community" 1963 12 5
61962CJ0035 "M. André Leroy v High Authority of the European Coal and Steel Community" 1963 12 5
61963CJ0023 "Société anonyme Usines Emile Henricot and others v High Authority of the European Coal and Steel Community" 1963 12 5
61963CJ0001 "Macchiorlati Dalmas & Figli v High Authority of the European Coal and Steel Community" 1963 12 16
61963CJ0002 "Società Industriale Acciaierie San Michele and others v High Authority of the European Coal and Steel Community" 1963 12 16
61963CJ0014 "Forges de Clabecq SA v High Authority of the European Coal and Steel Community" 1963 12 16
61962CJ0018 "Mrs Emilia Barge, widow of Vittorio Leone v High Authority of the European Coal and Steel Community" 1963 12 16
61962CJ0036 "Société des Aciéries du Temple v High Authority of the European Coal and Steel Community" 1963 12 16
61963CJ0073 "NV Internationale Crediet- en Handelsvereniging ""Rotterdam"" and De Coöperatieve Suikerfabriek en Raffinaderij G.A. ""Puttershoek"" v Netherlands Minister of Agriculture and Fisheries" 1964 2 18
61963CJ0015 "Claude Lassalle v European Parliament" 1964 3 4
61963CJ0020 "Jean Maudet v Commission of the European Economic Community" 1964 3 19
61963CJ0027 "Goffredo Raponi v Commission of the European Economic Community" 1964 3 19
61963CJ0067 "Société rhénane d'exploitation et de manutention ""Sorema"" v High Authority of the European Coal and Steel Community" 1964 3 19
61963CJ0011 "Robert Lepape v High Authority of the European Coal and Steel Community" 1964 3 19
61963CJ0018 "Mrs Estelle Wollast (née Schmitz) v European Economic Community" 1964 3 19
61963CJ0075 "Mrs M.K.H. Hoekstra (née Unger) v Bestuur der Bedrijfsvereniging voor Detailhandel en Ambachten (Administration of the Industrial Board for Retail Trades and Businesses)" 1964 3 19
61963CJ0101 "Albert Wagner v Jean Fohrmann and Antoine Krier" 1964 5 12
61963CJ0079 "Jean Reynier and Piero Erba v Commission of the European Economic Community" 1964 6 9
61963CJ0055 "Acciaierie Fonderie Ferriere di Modena and others v High Authority of the European Coal and Steel Community" 1964 6 9
