source_id target_id year month day
61978CJ0238 61976CJ0083 1979 10 4
61978CJ0238 61976CJ0117 1979 10 4
61976CJ0064 61976CJ0124 1979 10 4
61976CJ0064 61976CJ0083 1979 10 4
61978CJ0225 61976CJ0053 1979 10 11
61979CJ0005 61975CJ0088 1979 10 18
61979CJ0005 61978CJ0223 1979 10 18
61979CJ0005 61975CJ0065 1979 10 18
61979CJ0005 61977CJ0154 1979 10 18
61979CJ0005 61974CJ0031 1979 10 18
61979CJ0022 61973CJ0006 1979 10 25
61978CJ0159 61973CJ0167 1979 10 25
61979CJ0016 61975CJ0088 1979 11 6
61979CJ0016 61978CJ0223 1979 11 6
61979CJ0016 61975CJ0065 1979 11 6
61979CJ0016 61977CJ0154 1979 11 6
61979CJ0016 61974CJ0031 1979 11 6
61978CJ0251 61976CJ0041 1979 11 8
61978CJ0251 61977CJ0005 1979 11 8
61978CJ0251 61977CJ0082 1979 11 8
61978CJ0251 61975CJ0104 1979 11 8
61979CJ0036 61977CJ0139 1979 11 15
61978CJ0162 61977CJ0108 1979 11 20
61977CJ0116 61976CJ0083 1979 12 5
61977CJ0116 61977CJ0103 1979 12 5
61977CJ0143 61977CJ0103 1979 12 5
61977CJ0143 61978CJ0083 1979 12 5
61979CJ0012 61976CJ0088 1979 12 12
61979CJ0042 61976CJ0099 1979 12 13
61979CJ0044 61970CJ0011 1979 12 13
61979CJ0044 61973CJ0004 1979 12 13
61978CJ0257 61974CJ0037 1979 12 14
61978CJ0257 61974CJ0021 1979 12 14
61979CJ0021 61977CJ0148 1980 1 8
61978CJ0116(01) 61978CJ0116 1980 1 10
61978CJ0116(01) 61974CJ0065 1980 1 10
61979CJ0095 61979CJ0016 1980 1 17
61979CJ0095 61978CJ0223 1980 1 17
61979CJ0095 61975CJ0065 1980 1 17
61979CJ0095 61977CJ0154 1980 1 17
61979CJ0095 61974CJ0031 1980 1 17
61979CJ0030 61977CJ0070 1980 1 22
61979CJ0030 61976CJ0046 1980 1 22
61979CJ0035 61973CJ0131 1980 1 23
61979CJ0077 61976CJ0084 1980 2 13
61979CJ0054 61973CJ0183 1980 2 26
61979CJ0094 61973CJ0190 1980 2 26
61979CJ0094 61974CJ0051 1980 2 26
61979CJ0068 61978CJ0171 1980 2 27
61979CJ0068 61976CJ0033 1980 2 27
61979CJ0068 61976CJ0045 1980 2 27
61978CJ0168 61975CJ0045 1980 2 27
61978CJ0168 61977CJ0148 1980 2 27
61978CJ0168 61967CJ0027 1980 2 27
61978CJ0168 61973CJ0185 1980 2 27
61978CJ0169 61975CJ0045 1980 2 27
61978CJ0169 61977CJ0148 1980 2 27
61978CJ0169 61967CJ0027 1980 2 27
61979CJ0055 61975CJ0045 1980 2 27
61979CJ0055 61976CJ0078 1980 2 27
61979CJ0055 61976CJ0020 1980 2 27
61979CJ0055 61972CJ0054 1980 2 27
61979CJ0055 61976CJ0074 1980 2 27
61979CJ0055 61969CJ0077 1980 2 27
61979CJ0055 61975CJ0127 1980 2 27
61978CJ0171 61975CJ0045 1980 2 27
61978CJ0171 61977CJ0148 1980 2 27
61978CJ0171 61967CJ0027 1980 2 27
61979CJ0089 61971CJ0042 1980 2 28
61979CJ0049 61973CJ0153 1980 3 4
61978CJ0243 61978CJ0012 1980 3 5
61978CJ0265 61974CJ0026 1980 3 5
61978CJ0265 61976CJ0118 1980 3 5
61979CJ0076 61978CJ0092 1980 3 5
61979CJ0038 61978CJ0006 1980 3 5
61979CJ0098 61975CJ0048 1980 3 5
61979CJ0120 61978CJ0143 1980 3 6
61979CJ0124 61979CJ0035 1980 3 13
61979CJ0026 61973CJ0005 1980 3 18
61979CJ0052 61973CJ0155 1980 3 18
61979CJ0092 61969CJ0038 1980 3 18
61979CJ0091 61969CJ0038 1980 3 18
61978CJ0154 61956CJ0009 1980 3 18
61978CJ0154 61954CJ0006 1980 3 18
61978CJ0154 61957CJ0008 1980 3 18
61978CJ0154 61973CJ0004 1980 3 18
61979CJ0087 61975CJ0037 1980 3 20
61979CJ0061 61972CJ0077 1980 3 27
61979CJ0061 61976CJ0033 1980 3 27
61979CJ0061 61975CJ0043 1980 3 27
61979CJ0061 61974CJ0094 1980 3 27
61979CJ0061 61965CJ0052 1980 3 27
61979CJ0061 61977CJ0106 1980 3 27
61979CJ0061 61969CJ0002 1980 3 27
61979CJ0061 61976CJ0045 1980 3 27
61979CJ0061 61975CJ0087 1980 3 27
61979CJ0061 61968CJ0024 1980 3 27
61979CJ0061 61962CJ0002 1980 3 27
61979CJ0061 61968CJ0007 1980 3 27
61979CJ0066 61974CJ0026 1980 3 27
61979CJ0066 61975CJ0113 1980 3 27
61979CJ0066 61975CJ0043 1980 3 27
61979CJ0129 61975CJ0043 1980 3 27
61979CJ0110 61978CJ0266 1980 4 24
61979CJ0784 61976CJ0025 1980 5 6
61979CJ0784 61976CJ0024 1980 5 6
61979CJ0102 61978CJ0148 1980 5 6
61979CJ0102 61977CJ0100 1980 5 6
61979CJ0073 61978CJ0091 1980 5 21
61979CJ0073 61969CJ0047 1980 5 21
61979CJ0073 61976CJ0105 1980 5 21
61979CJ0131 61977CJ0030 1980 5 22
61979CJ0143 61973CJ0051 1980 5 22
61979CJ0143 61976CJ0017 1980 5 22
61979CJ0033 61972CJ0035 1980 5 28
61979CJ0024 61974CJ0029 1980 6 5
61978CJ0155 61976CJ0121 1980 6 10
61978CJ0155 61977CJ0075 1980 6 10
61979CJ0130 61979CJ0061 1980 6 12
61979CJ0130 61977CJ0131 1980 6 12
61979CJ0107 61971CJ0029 1980 6 12
61979CJ0119 61978CJ0265 1980 6 12
61979CJ0119 61973CJ0003 1980 6 12
61979CJ0119 61976CJ0033 1980 6 12
61979CJ0119 61976CJ0045 1980 6 12
61979CJ0733 61978CJ0100 1980 6 12
61980CJ0001 61967CJ0001 1980 6 12
61979CJ0041 61978CJ0139 1980 6 19
61979CJ0041 61976CJ0112 1980 6 19
61979CJ0041 61979CJ0044 1980 6 19
61979CJ0041 61975CJ0024 1980 6 19
61979CJ0136 61973CJ0004 1980 6 26
61979CJ0808 61973CJ0158 1980 6 26
61979CJ0006 61977CJ0007 1980 7 3
61979CJ0006 61970CJ0029 1980 7 3
61979CJ0006 61975CJ0122 1980 7 3
61979CJ0157 61977CJ0008 1980 7 3
61979CJ0807 61978CJ0100 1980 7 9
61979CJ0811 61976CJ0033 1980 7 10
61979CJ0811 61975CJ0043 1980 7 10
61979CJ0811 61977CJ0106 1980 7 10
61979CJ0811 61979CJ0061 1980 7 10
61979CJ0811 61976CJ0045 1980 7 10
61979CJ0811 61968CJ0024 1980 7 10
61979CJ0811 61972CJ0029 1980 7 10
61979CJ0032 61977CJ0061 1980 7 10
61979CJ0032 61976CJ0003 1980 7 10
61979CJ0032 61978CJ0141 1980 7 10
61979CJ0037 61973CJ0127 1980 7 10
61979CJ0037 61972CJ0048 1980 7 10
61979CJ0826 61977CJ0106 1980 7 10
61979CJ0826 61972CJ0029 1980 7 10
61979CJ0826 61976CJ0033 1980 7 10
61979CJ0826 61976CJ0045 1980 7 10
61979CJ0826 61975CJ0043 1980 7 10
61979CJ0099 61967CJ0023 1980 7 10
61979CJ0099 61969CJ0010 1980 7 10
61979CJ0099 61965CJ0056 1980 7 10
61979CJ0099 61977CJ0059 1980 7 10
61979CJ0099 61976CJ0026 1980 7 10
61978CJ0253 61968CJ0014 1980 7 10
61978CJ0152 61978CJ0168 1980 7 10
61979CJ0137 61969CJ0023 1980 7 11
61979CJ0137 61969CJ0019 1980 7 11
61979CJ0150 61976CJ0087 1980 7 11
61979CJ0798 61976CJ0069 1980 7 11
61979CJ0818 61972CJ0014 1980 9 18
61979CJ0818 61972CJ0015 1980 9 18
61979CJ0818 61972CJ0016 1980 9 18
61979CJ0812 61961CJ0010 1980 10 14
61979CJ0004 61974CJ0034 1980 10 15
61979CJ0004 61976CJ0124 1980 10 15
61979CJ0004 61979CJ0145 1980 10 15
61979CJ0004 61976CJ0117 1980 10 15
61979CJ0109 61974CJ0034 1980 10 15
61979CJ0109 61976CJ0124 1980 10 15
