node_id title year month day
11454/85 "CASE OF KOSTOVSKI v THE NETHER" 1989 11 20
10959/84 "CASE OF CHICHLIAN AND EKINDJIA" 1989 11 29
10964/84 "CASE OF BROZICEK v ITALY" 1989 12 19
9783/82 "CASE OF KAMASINSKI v AUSTRIA" 1989 12 19
10522/83 "CASE OF MELLACHER AND OTHERS v" 1989 12 19
9310/81 "CASE OF POWELL AND RAYNER v TH" 1990 2 21
11509/85 "CASE OF VAN DER LEER v THE NET" 1990 2 21
11855/85 "CASE OF HKANSSON AND STURESSON" 1990 2 21
12170/86 "CASE OF JN KRISTINSSON v ICELA" 1990 3 1
11968/86 "CASE OF B v AUSTRIA" 1990 3 28
10890/84 "CASE OF GROPPERA RADIO AG AND" 1990 3 28
11932/86 "CASE OF GRANGER v THE UNITED K" 1990 3 28
11105/84 "CASE OF HUVIG v FRANCE" 1990 4 24
11801/85 "CASE OF KRUSLIN v FRANCE" 1990 4 24
12393/86 "CASE OF CLERC v FRANCE" 1990 4 26
11034/84 "CASE OF WEBER v SWITZERLAND" 1990 5 22
12726/87 "CASE OF AUTRONIC AG v SWITZERL" 1990 5 22
11309/84 "CASE OF MATS JACOBSSON v SWEDE" 1990 6 28
12258/86 "CASE OF SKRBY v SWEDEN" 1990 6 28
11761/85 "CASE OF OBERMEIER v AUSTRIA" 1990 6 28
11701/85 "CASE OF E v NORWAY" 1990 8 29
9511/81 "CASE OF McCALLUM v THE UNITED" 1990 8 30
12244/86 "CASE OF FOX CAMPBELL AND HARTL" 1990 8 30
12574/86 "CASE OF NYBERG v SWEDEN" 1990 8 31
12489/86 "CASE OF WINDISCH v AUSTRIA" 1990 9 27
12535/86 "CASE OF WASSINK v THE NETHERLA" 1990 9 27
10843/84 "CASE OF COSSEY v THE UNITED KI" 1990 9 27
11581/85 "CASE OF DARBY v SWEDEN" 1990 10 23
11296/84 "CASE OF MOREIRA DE AZEVEDO v P" 1990 10 23
12794/87 "CASE OF HUBER v SWITZERLAND" 1990 10 23
12228/86 "CASE OF KEUS v THE NETHERLANDS" 1990 10 25
11487/85 "CASE OF KOENDJBIHARIE v THE NE" 1990 10 25
11787/85 "CASE OF THYNNE WILSON AND GUNN" 1990 10 25
11444/85 "CASE OF DELTA v FRANCE" 1990 12 19
13446/87 "CASE OF DJEROUD v FRANCE" 1991 1 23
12033/86 "CASE OF FREDIN v SWEDEN No 1" 1991 2 18
12313/86 "CASE OF MOUSTAQUIM v BELGIUM" 1991 2 18
13978/88 "CASE OF ADILETTA AND OTHERS v" 1991 2 19
12598/86 "CASE OF VIEZZER v ITALY" 1991 2 19
11634/85 "CASE OF SANTILLI v ITALY" 1991 2 19
12147/86 "CASE OF FRAU v ITALY" 1991 2 19
11460/85 "CASE OF BRIGAND v ITALY" 1991 2 19
11339/85 "CASE OF ISGR v ITALY" 1991 2 19
13552/88 "CASE OF MORI v ITALY" 1991 2 19
12176/86 "CASE OF FICARA v ITALY" 1991 2 19
11804/85 "CASE OF MANZONI v ITALY" 1991 2 19
11557/85 "CASE OF MOTTA v ITALY" 1991 2 19
11491/85 "CASE OF ZANGH v ITALY" 1991 2 19
13324/87 "CASE OF GIROLAMI v ITALY" 1991 2 19
13509/88 "CASE OF TRIGGIANI v ITALY" 1991 2 19
13087/87 "CASE OF MAJ v ITALY" 1991 2 19
13440/87 "CASE OF FERRARO v ITALY" 1991 2 19
12666/87 "CASE OF ANGELUCCI v ITALY" 1991 2 19
13593/88 "CASE OF COLACIOPPO v ITALY" 1991 2 19
11840/85 "CASE OF PUGLIESE v ITALY No 1" 1991 2 19
11910/85 "CASE OF ALIMENA v ITALY" 1991 2 19
11889/85 "CASE OF VERNILLO v FRANCE" 1991 2 20
11755/85 "CASE OF STOCK v GERMANY" 1991 3 19
11069/84 "CASE OF CARDOT v FRANCE" 1991 3 19
15576/89 "CASE OF CRUZ VARAS AND OTHERS" 1991 3 20
11800/85 "CASE OF EZELIN v FRANCE" 1991 4 26
12398/86 "CASE OF ASCH v AUSTRIA" 1991 4 26
11662/85 "CASE OF OBERSCHLICK v AUSTRIA" 1991 5 23
12744/87 "CASE OF QUARANTA v SWITZERLAND" 1991 5 24
11891/85 "CASE OF VOCATURO v ITALY" 1991 5 24
11671/85 "CASE OF PUGLIESE v ITALY No 2" 1991 5 24
11890/85 "CASE OF CALEFFI v ITALY" 1991 5 24
12369/86 "CASE OF LETELLIER v FRANCE" 1991 6 26
12144/86 "CASE OF OWNERS SERVICES LTD v" 1991 6 28
12750/87 "CASE OF PHILIS v GREECE" 1991 8 27
13057/87 "CASE OF DEMICOLI v MALTA" 1991 8 27
12151/86 "CASE OF FCB v ITALY" 1991 8 28
11170/84 "CASE OF BRANDSTETTER v AUSTRIA" 1991 8 28
12217/86 "CASE OF MUYLDERMANS v BELGIUM" 1991 10 23
12631/87 "CASE OF FEJDE v SWEDEN" 1991 10 29
11274/84 "CASE OF JAN-AKE ANDERSSON v SW" 1991 10 29
11826/85 "CASE OF HELMERS v SWEDEN" 1991 10 29
13163/87 "CASE OF VILVARAJAH AND OTHERS" 1991 10 30
12005/86 "CASE OF BORGERS v BELGIUM" 1991 10 30
11796/85 "CASE OF WIESINGER v AUSTRIA" 1991 10 30
13166/87 "CASE OF THE SUNDAY TIMES v THE" 1991 11 26
13585/88 "CASE OF OBSERVER AND GUARDIAN" 1991 11 26
12325/86 "CASE OF KEMMACHE v FRANCE No 1" 1991 11 27
12565/86 "CASE OF OERLEMANS v THE NETHER" 1991 11 27
12843/87 "CASE OF KOSTER v THE NETHERLAN" 1991 11 28
12629/87 "CASE OF S v SWITZERLAND" 1991 11 28
12742/87 "CASE OF PINE VALLEY DEVELOPMEN" 1991 11 29
12849/87 "CASE OF VERMEIRE v BELGIUM" 1991 11 29
12698/87 "CASE OF CASADIO v ITALY" 1991 12 3
12956/87 "CASE OF CATTIVERA v ITALY" 1991 12 3
12786/87 "CASE OF TESTA v ITALY" 1991 12 3
13050/87 "CASE OF ZONETTI v ITALY" 1991 12 3
12665/87 "CASE OF GILBERTI v ITALY" 1991 12 3
12921/87 "CASE OF COVITTI v ITALY" 1991 12 3
13103/87 "CASE OF SIMONETTI v ITALY" 1991 12 3
12922/87 "CASE OF MACALUSO v ITALY" 1991 12 3
13037/87 "CASE OF MANUNZA v ITALY" 1991 12 3
13338/87 "CASE OF GORI v ITALY" 1991 12 3
12828/87 "CASE OF TROTTO v ITALY" 1991 12 3
13337/87 "CASE OF DAL SASSO v ITALY" 1991 12 3
13009/87 "CASE OF SERI v ITALY" 1991 12 3
12785/87 "CASE OF NONNIS v ITALY" 1991 12 3
11894/85 "CASE OF TOTH v AUSTRIA" 1991 12 12
12718/87 "CASE OF CLOOTH v BELGIUM" 1991 12 12
12963/87 "CASE OF MARGARETA AND ROGER AN" 1992 2 25
10802/84 "CASE OF PFEIFER AND PLANKL v A" 1992 2 25
12871/87 "CASE OF BIONDI v ITALY" 1992 2 26
12854/87 "CASE OF NIBBIO v ITALY" 1992 2 26
12870/87 "CASE OF BORGESE v ITALY" 1992 2 26
12859/87 "CASE OF LESTINI v ITALY" 1992 2 26
12923/87 "CASE OF MONACO v ITALY" 1992 2 26
12787/87 "CASE OF G v ITALY" 1992 2 27
12460/86 "CASE OF RUOTOLO v ITALY" 1992 2 27
13319/87 "CASE OF BIROU v FRANCE" 1992 2 27
12706/87 "CASE OF VORRASI v ITALY" 1992 2 27
11598/85 "CASE OF SOCIETE STENUIT v FRAN" 1992 2 27
12409/86 "CASE OF STEFFANO v ITALY" 1992 2 27
12783/87 "CASE OF CAPPELLO v ITALY" 1992 2 27
13218/87 "CASE OF PANDOLFELLI AND PALUMB" 1992 2 27
13265/87 "CASE OF PIERAZZINI v ITALY" 1992 2 27
12053/86 "CASE OF MANIERI v ITALY" 1992 2 27
12825/87 "CASE OF CAFF ROVERSI SPA v ITA" 1992 2 27
13024/87 "CASE OF GANA v ITALY" 1992 2 27
13301/87 "CASE OF LORENZI BERNARDINI AND" 1992 2 27
11898/85 "CASE OF DIANA v ITALY" 1992 2 27
12238/86 "CASE OF TAIUTI v ITALY" 1992 2 27
12295/86 "CASE OF SERRENTINO v ITALY" 1992 2 27
12955/87 "CASE OF ANDREUCCI v ITALY" 1992 2 27
13299/87 "CASE OF TUSA v ITALY" 1992 2 27
12145/86 "CASE OF COOPERATIVA PARCO CUMA" 1992 2 27
13261/87 "CASE OF ARENA v ITALY" 1992 2 27
12054/86 "CASE OF MASTRANTONIO v ITALY" 1992 2 27
13130/87 "CASE OF CORMIO v ITALY" 1992 2 27
11973/86 "CASE OF CASCIAROLI v ITALY" 1992 2 27
13216/87 "CASE OF CIFOLA v ITALY" 1992 2 27
12088/86 "CASE OF IDROCALCE SRL v ITALY" 1992 2 27
12148/86 "CASE OF CARDARELLI v ITALY" 1992 2 27
12407/86 "CASE OF MANIFATTURA FL v ITALY" 1992 2 27
13132/87 "CASE OF BARBAGALLO v ITALY" 1992 2 27
13362/87 "CASE OF TUMMINELLI v ITALY" 1992 2 27
11911/85 "CASE OF RIDI v ITALY" 1992 2 27
12284/86 "CASE OF MACIARIELLO v ITALY" 1992 2 27
12172/86 "CASE OF GOLINO v ITALY" 1992 2 27
13343/87 "CASE OF B v FRANCE" 1992 3 25
13590/88 "CASE OF CAMPBELL v THE UNITED" 1992 3 25
12083/86 "CASE OF BELDJOUDI v FRANCE" 1992 3 26
11760/85 "CASE OF EDITIONS PERISCOPE v F" 1992 3 26
11683/85 "CASE OF FARMAKOPOULOS v BELGIU" 1992 3 27
18020/91 "CASE OF X v FRANCE" 1992 3 31
12366/86 "CASE OF RIEME v SWEDEN" 1992 4 22
